run_id,task_id,timestamp,input_tokens,output_tokens,total_tokens,duration_seconds,success,failure_mode
T1_simple_r1,T1_simple,2026-07-27T16:18:35,151600,968,152568,41.3,正确,
T1_simple_r2,T1_simple,2026-07-27T16:19:09,74134,311,74445,31.5,正确,
T1_simple_r3,T1_simple,2026-07-27T16:19:43,73563,318,73881,31.9,正确,
T1_simple_r4,T1_simple,2026-07-27T16:20:13,73528,281,73809,28.3,正确,
T1_simple_r5,T1_simple,2026-07-27T16:20:45,73509,265,73774,29.6,正确,
T2_medium_r1,T2_medium,2026-07-27T16:21:09,36606,191,36797,22.6,未完成,"其他：Claude Pro 月度限额在 run 中途耗尽，已烧 36,797 token 无产出"
T2_medium_r2,T2_medium,2026-07-27T16:21:15,0,0,0,3.2,未执行,其他：配额耗尽，API 拒绝（0 token，~3s 退出）
T2_medium_r3,T2_medium,2026-07-27T16:21:19,0,0,0,2.8,未执行,其他：配额耗尽，API 拒绝（0 token，~3s 退出）
T2_medium_r4,T2_medium,2026-07-27T16:21:24,0,0,0,3.0,未执行,其他：配额耗尽，API 拒绝（0 token，~3s 退出）
T2_medium_r5,T2_medium,2026-07-27T16:21:29,0,0,0,2.5,未执行,其他：配额耗尽，API 拒绝（0 token，~3s 退出）
T3_hard_r1,T3_hard,2026-07-27T16:21:34,0,0,0,2.6,未执行,其他：配额耗尽，API 拒绝（0 token，~3s 退出）
T3_hard_r2,T3_hard,2026-07-27T16:21:38,0,0,0,2.6,未执行,其他：配额耗尽，API 拒绝（0 token，~3s 退出）
T3_hard_r3,T3_hard,2026-07-27T16:21:43,0,0,0,2.5,未执行,其他：配额耗尽，API 拒绝（0 token，~3s 退出）
T3_hard_r4,T3_hard,2026-07-27T16:21:48,0,0,0,3.0,未执行,其他：配额耗尽，API 拒绝（0 token，~3s 退出）
T3_hard_r5,T3_hard,2026-07-27T16:21:53,0,0,0,2.9,未执行,其他：配额耗尽，API 拒绝（0 token，~3s 退出）
